,TransactionDate,ReportedDateTime,Company,Symbol,InsiderRelationship,SharesTraded,AveragePrice,TotalAmount,SharesOwned,Filing
1,2020-11-27Sale,2020-12-014:00 pm,Sonos Inc,SONO,Volpi MichelangeloDirector,"178,790",$21.43,"$3,831,776",0(Indirect),View
2,2020-11-27Sale,2020-12-014:01 pm,ALPHA & OMEGA SEMICONDUCTOR Ltd,AOSL,Xue BingVP,"3,543",$24.81,"$87,893","35,802(Direct)",View
3,2020-11-30Sale,2020-12-014:01 pm,BOSTON BEER CO INC,SAM,KOCH C JAMESChairman10% Owner,"7,834",$896.41,"$7,022,482","207,587(IndirectDirect)",View
4,2020-11-27Sale,2020-12-014:01 pm,CORVEL CORP,CRVL,CLEMONS V GORDONChairman,"1,500",$91.09,"$136,636","675,050(IndirectDirect)",View
5,2020-11-30Sale,2020-12-014:02 pm,ENGLOBAL CORP,ENG,Williams Robert BruceVP,"100,000",$2.1846,"$218,460","52,456(Direct)",View
6,2020-11-25Sale,2020-12-014:02 pm,Compass Diversified Holdings,CODI,Anholt Investments Ltd.CGI Diversified Holdings LPNavco Management Ltd.Path Spirit LTD10% Owner,"41,820",$19.55,"$817,469","8,487,840(Indirect)",View
7,2020-11-30Sale,2020-12-014:02 pm,BOSTON BEER CO INC,SAM,KOCH C JAMESChairman10% Owner,"2,166",$916.18,"$1,984,447","205,421(IndirectDirect)",View
8,2020-11-27Sale,2020-12-014:05 pm,MYR GROUP Inc,MYRG,KOERTNER WILLIAM ADirector,"12,133",$51.78,"$628,267","203,723(Direct)",View
9,2020-11-30Sale,2020-12-014:07 pm,Silvergate Capital Corp,SI,Fraher KathleenCOO,565,$35.86,"$20,260","20,084(Direct)",View
10,2020-11-27Sale,2020-12-014:08 pm,Keysight Technologies Inc.,KEYS,Gooi Soon ChaiVP,"7,871",$120,"$944,520","228,747(Direct)",View
11,2020-11-27Sale,2020-12-014:08 pm,Keysight Technologies Inc.,KEYS,Dhanasekaran SatishCOO,"4,213",$119.75,"$504,495","64,514(Direct)",View
12,2020-11-27Sale,2020-12-014:08 pm,ESTABLISHMENT LABS HOLDINGS Inc,ESTA,Dada Santos SalvadorCOO,300,$27,"$8,100","147,661(Direct)",View
13,2020-11-30Sale,2020-12-014:08 pm,Priority Technology Holdings Inc.,PRTH,Kiewiet SeanCTO,"10,000",$4.6061,"$46,061","2,031,659(Direct)",View
14,2020-11-30Sale,2020-12-014:09 pm,TYME TECHNOLOGIES Inc,TYME,Demurjian Michael10% Owner,"20,000",$1.08,"$21,600","25,078,546(Direct)",View
15,2020-11-27Sale,2020-12-014:10 pm,CarGurus Inc.,CARG,Steinert LangleyCEOChairman10% Owner,"39,378",$24.79,"$976,242","69,976(IndirectDirect)",View
16,2020-11-30Sale,2020-12-014:10 pm,MOODYS CORP,MCO,MCDANIEL RAYMOND WCEO,"42,662",$279.99,"$11,944,793","228,246(IndirectDirect)",View
17,2020-11-30Sale,2020-12-014:12 pm,Addus HomeCare Corp,ADUS,TUCKER DAVID W.EVP/Chief Development Officer,268,$95.56,"$25,610","6,937(Direct)",View
18,2020-11-30Sale,2020-12-014:14 pm,CarGurus Inc.,CARG,Caputo Thomas MichaelChief Product Officer,"2,465",$25.02,"$61,674","203,401(Direct)",View
19,2020-11-27Sale,2020-12-014:15 pm,LEVI STRAUSS & CO,LEVI,Ellison Seth M.VP,"122,707",$18.67,"$2,290,940","50,518(Direct)",View
20,2020-11-30Sale,2020-12-014:15 pm,MACROGENICS INC,MGNX,Risser Eric BlasiusSr VP & Chief Business Officer,500,$23.35,"$11,675","44,468(Direct)",View
21,2020-11-30Sale,2020-12-014:16 pm,Clarus Corp,CLAR,HOUSE DONALDDirector,"7,612",$14.4,"$109,621","160,000(Direct)",View
22,2020-11-30Sale,2020-12-014:19 pm,NIKE Inc.,NKE,COOK TIMOTHY DDirector,"52,000",$133.91,"$6,963,320","31,433(Direct)",View
23,2020-11-30Sale,2020-12-014:21 pm,ATLAS AIR WORLDWIDE HOLDINGS INC,AAWW,Schwartz SpencerCFO,"5,000",$56.03,"$280,150","37,636(Direct)",View
24,2020-11-30Sale,2020-12-014:22 pm,CREE Inc,CREE,WERNER THOMAS HDirector,"10,000",$91.02,"$910,200","61,315(Direct)",View
25,2020-11-30Sale,2020-12-014:22 pm,Schrodinger Inc.,SDGR,D'Cruz ConySee Remarks,"6,375",$70.3,"$448,163","169,082(IndirectDirect)",View
26,2020-12-01Sale,2020-12-014:24 pm,PTC Inc,PTC,Talvitie KristianCFO,"6,163",$107.97,"$665,397","23,805(Direct)",View
27,2020-11-09Sale,2020-12-014:26 pm,Corteva Inc.,CTVA,GUTTERSON NEALCTO,"39,326",$36.6,"$1,439,324","22,589(Direct)",View
28,2020-11-27Sale,2020-12-014:31 pm,AXON ENTERPRISE Inc,AAXN,SMITH PATRICK WCEO,"98,000",$125.71,"$12,319,615","469,555(Direct)",View
29,2020-12-01Sale,2020-12-014:31 pm,AXCELIS TECHNOLOGIES INC,ACLS,FALLON LYNNETTE CVP,"18,500",$27.43,"$507,455","73,307(Direct)",View
30,2020-12-01Sale,2020-12-014:31 pm,AXON ENTERPRISE Inc,AAXN,GARNREITER MICHAELDirector,500,$127.03,"$63,515","30,150(Direct)",View
31,2020-11-30Sale,2020-12-014:31 pm,PELOTON INTERACTIVE Inc,PTON,Garavaglia MarianaCOO,"4,688",$112.31,"$526,497","2,856(Direct)",View
32,2020-11-27Sale,2020-12-014:31 pm,Intercontinental Exchange Inc.,ICE,Goone David SChief Strategic Officer,"22,795",$105.04,"$2,394,299","180,729(Direct)",View
33,2020-11-27Sale,2020-12-014:32 pm,AMCI Acquisition Corp.,AMCI,Hudson Bay Capital Management LPGerber Sander10% Owner,"100,000",$11.27,"$1,127,000","900,000(Indirect)",View
34,2020-11-27Sale,2020-12-014:33 pm,Primerica Inc.,PRI,Schneider Peter W.President,"3,000",$134.38,"$403,154","23,839(Direct)",View
