,TransactionDate,ReportedDateTime,Company,Symbol,InsiderRelationship,SharesTraded,AveragePrice,TotalAmount,SharesOwned,Filing
22,2020-12-09Sale,2020-12-114:25 pm,HERC HOLDINGS INC,HRI,Silber Lawrence HarrisCEO,"70,176",$65.85,"$4,621,279","139,750(Direct)",View
23,2020-12-09Sale,2020-12-114:26 pm,BERKSHIRE HILLS BANCORP INC,BHLB,MAHONEY CORNELIUS DDirector,"7,275",$18.65,"$135,683","12,565(IndirectDirect)",View
24,2020-12-09Sale,2020-12-114:28 pm,BERKSHIRE HILLS BANCORP INC,BHLB,TEMPLETON D JEFFREYDirector,"8,000",$19.02,"$152,161","17,656(IndirectDirect)",View
25,2020-12-09Sale,2020-12-114:28 pm,LEVI STRAUSS & CO,LEVI,Haas Bradley J.10% Owner,"54,049",$20.74,"$1,121,005",0(Direct),View
26,2020-12-09Sale,2020-12-114:30 pm,Lantheus Holdings Inc.,LNTH,DUFFY MICHAEL PVP,"15,000",$14,"$210,000","103,402(Direct)",View
27,2020-12-09Sale,2020-12-114:30 pm,Coupa Software Inc,COUP,Campbell Leslie C.G.Director,"2,250",$306.57,"$689,773","37,634(Direct)",View
28,2020-12-09Sale,2020-12-114:30 pm,Coupa Software Inc,COUP,SIBONI ROGER SDirector,"2,858",$305.54,"$873,236","10,017(Direct)",View
29,2020-12-10Sale,2020-12-114:30 pm,Triton International Ltd,TRTN,GERMAIN CLAUDEDirector,"2,500",$48.05,"$120,125","43,787(IndirectDirect)",View
30,2020-12-11Sale,2020-12-114:30 pm,CORETEC GROUP Inc,CRTG,KEEN VICTOR FChairman10% Owner,"5,503,413",$0.1,"$550,341","4,027,065(Indirect)",View
31,2020-12-09Sale,2020-12-114:30 pm,CENTURY ALUMINUM CO,CENX,BLESS MICHAEL ACEO,"38,439",$11.76,"$452,046","361,109(Direct)",View
32,2020-12-11Sale,2020-12-114:30 pm,CORETEC GROUP Inc,CRTG,CALTON SIMONChairman10% Owner,"15,358,362",$0.1,"$1,535,836","11,238,321(Indirect)",View
33,2020-12-09Sale,2020-12-114:31 pm,TUTOR PERINI CORP,TPC,KLEIN MICHAEL RDirector,"50,000",$13.38,"$669,000","317,389(Direct)",View
34,2020-12-09Sale,2020-12-114:31 pm,LEVI STRAUSS & CO,LEVI,Haas Jennifer C.10% Owner,"54,049",$20.74,"$1,121,005",0(Direct),View
35,2020-12-09Sale,2020-12-114:33 pm,PELOTON INTERACTIVE Inc,PTON,Cortese ThomasCOO,"40,000",$115.71,"$4,628,547",413(IndirectDirect),View
36,2020-12-10Sale,2020-12-114:34 pm,SOUTHERN CO,SO,Kuczynski Stephen ECEO,"2,500",$60.93,"$152,325","64,496(Direct)",View
37,2020-12-09Sale,2020-12-114:35 pm,Interactive Brokers Group Inc.,IBKR,Peterffy ThomasChairman,"32,100",$55.57,"$1,783,849","9,601,011(Direct)",View
38,2020-12-09Sale,2020-12-114:35 pm,LEVI STRAUSS & CO,LEVI,Haas Daniel S.10% Owner,"135,122",$20.74,"$2,802,469",0(Direct),View
39,2020-12-10Sale,2020-12-114:35 pm,CENTURY ALUMINUM CO,CENX,Gary Jesse ECOO,"9,750",$11.72,"$114,270","48,024(IndirectDirect)",View
40,2020-12-09Sale,2020-12-114:35 pm,MEDNAX Inc,MD,MEDEL ROGER MDDirector,"100,000",$23.02,"$2,301,591","1,590,232(Direct)",View
41,2020-12-09Sale,2020-12-114:35 pm,STANLEY BLACK & DECKER Inc,SWK,Ansell Jeffrey DVP,393,$178.62,"$70,198","12,972(IndirectDirect)",View
42,2020-12-09Sale,2020-12-114:37 pm,NORTHERN OIL & GAS Inc,NOG,Akradi BahramDirector,"260,000",$9.3239,"$2,424,214","1,681,989(IndirectDirect)",View
43,2020-12-09Sale,2020-12-114:37 pm,PELOTON INTERACTIVE Inc,PTON,CALLAGHAN JONDirector10% Owner,"15,000",$114.78,"$1,721,723","918,954(IndirectDirect)",View
44,2020-12-09Sale,2020-12-114:38 pm,STANLEY BLACK & DECKER Inc,SWK,Raff Robert H JrPresident,943,$178.62,"$168,439","4,633(IndirectDirect)",View
45,2020-12-11Sale,2020-12-114:38 pm,LIFE STORAGE Inc,LSI,Gregoire Andrew JCFO,"5,000",$114.31,"$571,550","59,181(Direct)",View
46,2020-12-09Sale,2020-12-114:39 pm,AMERICAN PUBLIC EDUCATION INC,APEI,Fast BarbaraDirector,250,$33.31,"$8,328","20,128(Direct)",View
47,2020-12-09Sale,2020-12-114:39 pm,Coherus BioSciences Inc.,CHRS,Vexler VladimirChief Scientific Officer,"67,138",$18.19,"$1,221,150","36,673(Direct)",View
48,2020-12-09Sale,2020-12-114:41 pm,PagerDuty Inc.,PD,Tejada JenniferCEO,"52,000",$42.39,"$2,204,058","316,668(IndirectDirect)",View
49,2020-12-10Sale,2020-12-114:41 pm,Horizon Therapeutics Public Ltd Co,HZNP,DesJardin Michael A.VP,"5,909",$69.64,"$411,503","63,392(Direct)",View
50,2020-12-09Sale,2020-12-114:42 pm,Dynatrace Inc.,DT,THOMA BRAVO UGP LLCTHOMA BRAVO PARTNERS X L.P.THOMA BRAVO PARTNERS XI L.P.THOMA BRAVO FUND X L.P.THOMA BRAVO FUND X-A L.P.THOMA BRAVO SPECIAL OPPORTUNITIES FUND I L.P.THOMA BRAVO SPECIAL OPPORTUNITIES FUND I AIV L.P.THOMA BRAVO FUND XI L.P.THOMA BRAVO FUND XI-A L.P.THOMA BRAVO EXECUTIVE FUND XI L.P.10% Owner,"10,780,000",$40.15,"$432,817,016","84,298,272(Indirect)",View
51,2020-12-09Sale,2020-12-114:45 pm,MAGELLAN HEALTH INC,MGLN,Kamal MostafaCEO,"2,793",$79.69,"$222,574","2,824(Direct)",View
52,2020-12-09Sale,2020-12-114:46 pm,NEWMONT Corp,NEM,Engel E RandallVP,"5,000",$61.1,"$305,500","269,397(Direct)",View
53,2020-12-09Sale,2020-12-114:47 pm,CENTURY ALUMINUM CO,CENX,Hoerner John E.VP,"10,000",$11.87,"$118,700","163,272(Direct)",View
54,2020-12-09Sale,2020-12-114:47 pm,FRP HOLDINGS Inc,FRPH,MILTON JOHN D JRVP,"2,160",$45.04,"$97,280","4,320(Direct)",View
55,2020-12-10Sale,2020-12-114:48 pm,i3 Verticals Inc.,IIIV,HARRISON JOHN C.Director,"280,000",$27.1,"$7,588,000",0(Indirect),View
56,2020-12-10Sale,2020-12-114:49 pm,i3 Verticals Inc.,IIIV,HARVEY ROBERT BURTONDirector,"274,609",$27.1,"$7,441,904",0(IndirectDirect),View
57,2020-12-09Sale,2020-12-114:49 pm,NOODLES & Co,NDLS,Boennighausen David JamesCEO,"1,500",$8.7,"$13,050","324,499(Direct)",View
58,2020-12-10Sale,2020-12-114:49 pm,i3 Verticals Inc.,IIIV,WILDS DAVID MDirector,"400,000",$27.1,"$10,840,000",0(IndirectDirect),View
59,2020-12-10Sale,2020-12-114:50 pm,G1 Therapeutics Inc.,GTHX,Malik RajeshVP,"9,000",$20.06,"$180,550","29,200(Direct)",View
60,2020-12-10Sale,2020-12-114:51 pm,LEVI STRAUSS & CO,LEVI,Friedman David ADirector,"8,334",$21,"$175,014","379,085(IndirectDirect)",View
61,2020-12-09Sale,2020-12-114:53 pm,NMI Holdings Inc.,NMIH,SHUSTER BRADLEY MChairman,"36,628",$24.4,"$893,577","600,051(IndirectDirect)",View
62,2020-12-10Sale,2020-12-114:54 pm,NMI Holdings Inc.,NMIH,Leatherberry William JVP,"19,434",$24.28,"$471,830","124,614(Direct)",View
63,2020-12-09Sale,2020-12-114:56 pm,Quanex Building Products CORP,NX,Wilson George LaverneCEO,"15,000",$22.01,"$330,204","97,037(Direct)",View
64,2020-12-09Sale,2020-12-115:00 pm,LEVI STRAUSS & CO,LEVI,Haas Miriam L10% Owner,"300,000",$20.26,"$6,077,856",0(Direct),View
65,2020-12-10Sale,2020-12-115:00 pm,AZEK Co Inc.,AZEK,Gentile BobbyVP,"26,000",$35.01,"$910,260","210,157(Direct)",View
66,2020-12-09Sale,2020-12-115:00 pm,AZEK Co Inc.,AZEK,Kitchen Dennis MCHRO,"40,000",$34.57,"$1,382,800","235,901(Direct)",View
67,2020-12-09Sale,2020-12-115:00 pm,LKQ CORP,LKQ,HOLSTEN JOSEPH MDirector,"70,000",$37.23,"$2,605,939","201,337(Direct)",View
68,2020-12-10Sale,2020-12-115:00 pm,PEDEVCO CORP,PED,PINKSTON PAUL ANTHONYCAO,"5,000",$1.2502,"$6,251","110,000(Direct)",View
69,2020-11-02Sale(A),2020-12-115:00 pm,IDEXX LABORATORIES INC,IDXX,AYERS JONATHAN WDirector,"20,432",$438.43,"$8,958,041","716,915(IndirectDirect)",View
70,2020-12-09Sale,2020-12-115:00 pm,ExlService Holdings Inc.,EXLS,Kapoor RohitCEO,"2,500",$84.96,"$212,412","205,871(IndirectDirect)",View
71,2020-12-10Sale,2020-12-115:01 pm,TG THERAPEUTICS Inc,TGTX,Echelard YannDirector,"30,000",$40.05,"$1,201,500","129,116(Direct)",View
72,2020-12-09Sale,2020-12-115:04 pm,Akoustis Technologies Inc.,AKTS,Shealy Jeffrey B.CEO,"100,000",$8.51,"$851,000","1,185,239(Direct)",View
73,2020-12-09Sale,2020-12-115:04 pm,ELECTRONIC ARTS Inc,EA,Jorgensen Blake JCFOCOO,"5,975",$132.64,"$792,539","52,793(Direct)",View
74,2020-12-09Sale,2020-12-115:04 pm,CLEARONE INC,CLRO,Narayanan NarasimhanVP,"9,928",$2.3423,"$23,254",0(Direct),View
75,2020-12-09Sale,2020-12-115:05 pm,TENNECO INC,TEN,ICAHN CARL CICAHN ENTERPRISES HOLDINGS L.P.ICAHN ENTERPRISES G.P. IncBECKTON CORP10% Owner,"204,000",$10.88,"$2,219,520","7,921,365(Indirect)",View
76,2020-12-11Sale,2020-12-115:06 pm,PubMatic Inc.,PUBM,Goel Amar K.ChairmanChairman Chief Growth Officer10% Owner,"500,000",$20,"$10,000,000",0(IndirectDirect),View
77,2020-12-10Sale,2020-12-115:06 pm,ChromaDex Corp.,CDXC,Jaksch Frank L JrChairman,"37,829",$5.19,"$196,333","224,339(Direct)",View
78,2020-12-09Sale,2020-12-115:07 pm,DUCOMMUN INC,DCO,DUCOMMUN ROBERT CDirector,"1,000",$55.03,"$55,030","406,640(IndirectDirect)",View
79,2020-12-09Sale,2020-12-115:07 pm,StoneX Group Inc.,SNEX,OCONNOR SEAN MICHAELCEO,"5,234",$65,"$340,218","277,768(IndirectDirect)",View
80,2020-12-11Sale,2020-12-115:07 pm,PubMatic Inc.,PUBM,Goel Rajeev K.CEO10% Owner,"450,000",$20,"$9,000,000",0(Indirect),View
81,2020-11-06Sale,2020-12-115:08 pm,ZIONS BANCORPORATION NATIONAL ASSOCIATION,ZION,ANDERSON A SCOTTVP,"10,862",$33.04,"$358,864","28,202(Direct)",View
82,2020-12-11Sale,2020-12-115:10 pm,PubMatic Inc.,PUBM,Gupta AshishDirector10% Owner,"975,241",$20,"$19,504,820",0(Indirect),View
83,2020-12-09Sale,2020-12-115:10 pm,VERISIGN INC,VRSN,Indelicarto Thomas CVP,613,$210.85,"$129,251","57,041(Direct)",View
84,2020-12-11Sale,2020-12-115:11 pm,PubMatic Inc.,PUBM,GUPTA NARENDRADirector10% Owner,"1,000,000",$20,"$20,000,000",0(Indirect),View
85,2020-12-10Sale,2020-12-115:11 pm,IROBOT CORP,IRBT,Miller AndrewDirector,901,$76.26,"$68,710","6,385(Direct)",View
86,2020-12-11Sale,2020-12-115:12 pm,PubMatic Inc.,PUBM,Kumar MukulPresident,"85,000",$20,"$1,700,000",0(Direct),View
87,2020-12-11Sale,2020-12-115:13 pm,PubMatic Inc.,PUBM,Pantelick StevenCFO,"130,734",$20,"$2,614,680",0(Direct),View
88,2020-12-11Sale,2020-12-115:15 pm,PubMatic Inc.,PUBM,NEXUS INDIA CAPITAL I L PNexus India Management I LPNexus India Master Management I Ltd10% Owner,"1,000,000",$20,"$20,000,000",0(Direct),View
89,2020-12-09Sale,2020-12-115:24 pm,REALOGY HOLDINGS CORP.,RLGY,WASSER MARILYN J.VP,"20,924",$13.99,"$292,727","172,273(Direct)",View
90,2020-12-09Sale,2020-12-115:25 pm,FISERV INC,FISV,Chiarello GuyCAO,"20,000",$115.25,"$2,305,000","250,800(Direct)",View
91,2020-12-10Sale,2020-12-115:26 pm,Arthur J. Gallagher & Co.,AJG,Bay Walter D.General Counsel,"12,600",$119.23,"$1,502,298","20,422(Direct)",View
92,2020-12-09Sale,2020-12-115:27 pm,WERNER ENTERPRISES INC,WERN,NORDLUND H MARTYCOO,"19,113",$40,"$764,520","46,603(Direct)",View
93,2020-12-09Sale,2020-12-115:29 pm,READING INTERNATIONAL INC,RDI,McEachern Douglas JamesDirector,"10,000",$3.9915,"$39,915","1,000(Direct)",View
94,2020-12-09Sale,2020-12-115:30 pm,Progyny Inc.,PGNY,Payson NormanDirector,"10,500",$37.35,"$392,163","540,000(IndirectDirect)",View
95,2020-12-11Sale,2020-12-115:30 pm,AssetMark Financial Holdings Inc.,AMK,Kim MichaelEVP Chief Client Officer,"13,411",$24.13,"$323,668","324,733(Direct)",View
96,2020-12-09Sale,2020-12-115:33 pm,AMN HEALTHCARE SERVICES INC,AMN,SALKA SUSAN RCEO,"5,988",$68.67,"$411,179","48,296(Direct)",View
97,2020-12-11Sale,2020-12-115:33 pm,Edwards Lifesciences Corp,EW,BOBO DONALD E JRCVP Strategy/Corp Development,"13,074",$84.65,"$1,106,699","48,508(IndirectDirect)",View
98,2020-12-09Sale,2020-12-115:35 pm,AVIAT NETWORKS Inc,AVNW,Steel Excel Inc.SPH Group Holdings LLCSPH Group LLCSteel Partners Holdings GP Inc.STEEL PARTNERS HOLDINGS L.P.10% Owner,"24,244",$39.06,"$947,010","645,996(Direct)",View
99,2020-12-10Sale,2020-12-115:35 pm,HEALTHEQUITY Inc,HQY,Otten William RobertVP,"1,925",$65,"$125,125","34,309(Direct)",View
100,2020-12-09Sale,2020-12-115:36 pm,CarParts.com Inc.,PRTS,Peker LevCEO,"500,000",$14.33,"$7,167,478","196,954(IndirectDirect)",View
101,2020-12-10Sale,2020-12-115:39 pm,HALLIBURTON CO,HAL,Carre EricVP,"2,195",$19,"$41,705","176,661(Direct)",View
102,2020-08-17Sale(A),2020-12-115:41 pm,LGI Homes Inc.,LGIH,Sansbury Bryan ChristopherDirector,"10,000",$113.6,"$1,136,042","109,319(IndirectDirect)",View
103,2020-12-09Sale,2020-12-115:41 pm,CarParts.com Inc.,PRTS,Nia MehranDirector,"596,404",$14.07,"$8,391,984","1,666,937(IndirectDirect)",View
104,2020-12-09Sale,2020-12-115:42 pm,SITIME Corp,SITM,CHADWICK ARTHUR DCFO,"6,025",$101.59,"$612,080","100,677(Direct)",View
105,2020-05-18Sale(A),2020-12-115:43 pm,LGI Homes Inc.,LGIH,Sansbury Bryan ChristopherDirector,"21,851",$77.56,"$1,694,807","119,319(IndirectDirect)",View
106,2020-12-11Sale,2020-12-115:44 pm,Enphase Energy Inc.,ENPH,Malchow Joseph IanDirector,"3,000",$143.9,"$431,700","82,950(Direct)",View
107,2020-12-09Sale,2020-12-115:45 pm,CarParts.com Inc.,PRTS,Khazani SolDirector,"600,000",$13.87,"$8,319,146","2,056,857(Indirect)",View
108,2020-12-10Sale,2020-12-115:45 pm,SITIME Corp,SITM,Chitkara RamanDirector,"2,000",$105.07,"$210,140","22,458(Direct)",View
109,2019-11-15Sale(A),2020-12-115:45 pm,LGI Homes Inc.,LGIH,Sansbury Bryan ChristopherDirector,"9,200",$72,"$662,400","139,970(IndirectDirect)",View
110,2019-09-09Sale(A),2020-12-115:47 pm,LGI Homes Inc.,LGIH,Sansbury Bryan ChristopherDirector,"8,949",$80.91,"$724,086","149,170(IndirectDirect)",View
111,2020-12-09Sale,2020-12-115:48 pm,CarParts.com Inc.,PRTS,PHELPS BARRYDirector,"40,000",$14.91,"$596,400","174,739(Direct)",View
112,2020-12-10Sale,2020-12-115:51 pm,GenMark Diagnostics Inc.,GNMK,Jensen TylerVP,500,$12.79,"$6,395","208,308(Direct)",View
113,2020-12-10Sale,2020-12-115:56 pm,CIMAREX ENERGY CO,XEC,ALBI JOSEPH RCOO,"8,000",$39.54,"$316,300","110,813(IndirectDirect)",View
114,2020-12-11Sale,2020-12-115:57 pm,NEOGENOMICS INC,NEO,BALLIET JENNIFERVP and Chief Culture Officer,"15,000",$49.99,"$749,850","24,980(Direct)",View
115,2020-12-09Sale,2020-12-115:59 pm,CORVEL CORP,CRVL,CLEMONS V GORDONChairman,"2,200",$95.03,"$209,061","672,850(IndirectDirect)",View
116,2020-12-09Sale,2020-12-115:59 pm,Energy Recovery Inc.,ERII,Foda SherifDirector,"16,726",$11.9,"$199,063",0(Direct),View
117,2020-12-09Sale,2020-12-115:59 pm,CASTLE BIOSCIENCES INC,CSTL,Cook Joseph C. IIIDirector,"78,265",$58.35,"$4,566,409","792,969(IndirectDirect)",View
118,2020-12-09Sale,2020-12-115:59 pm,Zscaler Inc.,ZS,CANESSA REMOCFO,"45,148",$179.35,"$8,097,221","353,404(Direct)",View
119,2020-12-10Sale,2020-12-116:01 pm,VERRA MOBILITY Corp,VRRM,COLLINS REBECCAGeneral Counsel,"5,750",$13.5,"$77,625","28,969(Direct)",View
120,2020-12-10Sale,2020-12-116:02 pm,Carlyle Group Inc.,CG,Rubenstein David M.Director10% Owner,"750,000",$29.05,"$21,787,499","42,249,644(Direct)",View
121,2020-12-09Sale,2020-12-116:04 pm,METHODE ELECTRONICS INC,MEI,Shetty AnilVP,"15,706",$37.94,"$595,871","24,313(IndirectDirect)",View
122,2020-12-09Sale,2020-12-116:07 pm,PennyMac Financial Services Inc.,PFSI,KURLAND STANFORD LDirector10% Owner,"31,000",$59.05,"$1,830,663","7,657,990(IndirectDirect)",View
123,2020-12-09Sale,2020-12-116:08 pm,ACCELERON PHARMA INC,XLRN,MCLAUGHLIN KEVIN FCFO,"7,472",$125.02,"$934,176","11,216(Direct)",View
124,2020-12-10Sale,2020-12-116:14 pm,Caesars Entertainment Inc.,CZR,Quatmann Edmund L JrChief Legal Officer,"50,000",$71.34,"$3,566,818","43,601(Direct)",View
125,2020-12-10Sale,2020-12-116:16 pm,ARROWHEAD PHARMACEUTICALS Inc,ARWR,Waddill William D.Director,"3,000",$71.26,"$213,780","25,000(Direct)",View
126,2020-12-09Sale,2020-12-116:17 pm,MICROSOFT CORP,MSFT,Hogan Kathleen TVP,"30,000",$212.43,"$6,372,801","189,064(Direct)",View
127,2020-12-09Sale,2020-12-116:26 pm,Walmart Inc.,WMT,WALTON JIM C10% Owner,"1,131,053",$147.57,"$166,907,520","384,771,424(IndirectDirect)",View
128,2020-12-09Sale,2020-12-116:26 pm,Natera Inc.,NTRA,Brophy Michael BurkesCFO,"1,214",$92.59,"$112,403","58,683(Direct)",View
129,2020-12-09Sale,2020-12-116:26 pm,Fulgent Genetics Inc.,FLGT,KIM PAULCFO,"27,620",$51.81,"$1,430,923","174,563(Direct)",View
130,2020-12-09Sale,2020-12-116:29 pm,Walmart Inc.,WMT,WALTON S ROBSONDirector10% Owner,"1,131,053",$147.57,"$166,907,520","384,771,424(IndirectDirect)",View
131,2020-12-09Sale,2020-12-116:30 pm,TRINET GROUP Inc,TNET,Babinec MartinDirector,"26,000",$77.67,"$2,019,539","546,369(IndirectDirect)",View
132,2020-12-09Sale,2020-12-116:31 pm,Natera Inc.,NTRA,Rabinowitz MatthewChairman,996,$92.59,"$92,218","574,396(IndirectDirect)",View
133,2020-12-09Sale,2020-12-116:31 pm,VONAGE HOLDINGS CORP,VG,Citron Jeffrey ADirector,"25,000",$13.32,"$333,000","54,230(IndirectDirect)",View
134,2020-12-09Sale,2020-12-116:32 pm,Walmart Inc.,WMT,WALTON ALICE L10% Owner,"1,131,053",$147.57,"$166,907,520","384,771,424(IndirectDirect)",View
135,2020-12-09Sale,2020-12-116:35 pm,Elastic N.V.,ESTC,Banon ShayCEOChairman10% Owner,"353,945",$141.24,"$49,991,037","8,473,198(Direct)",View
136,2020-12-11Sale,2020-12-116:37 pm,REPUBLIC SERVICES Inc,RSG,SLAGER DONALD WCEO,"43,199",$94.85,"$4,097,620","299,080(Direct)",View
137,2020-12-09Sale,2020-12-116:41 pm,Natera Inc.,NTRA,Sheena JonathanDirector,"1,038",$92.6,"$96,116","291,288(Direct)",View
138,2020-12-09Sale,2020-12-116:41 pm,Chicken Soup for the Soul Entertainment Inc.,CSSE,Greenhaven Road Investment Management L.P.MVM Funds LLCGreenhaven Road Capital Fund 1 L.P.Greenhaven Road Capital Fund 2 L.P.Miller Scott Stewart10% Owner,"39,480",$18.09,"$714,202","248,053(Indirect)",View
139,2020-12-09Sale,2020-12-116:43 pm,Natera Inc.,NTRA,Chapman Steven LeonardCEO,"1,163",$92.6,"$107,691","28,504(Direct)",View
140,2020-12-09Sale,2020-12-116:44 pm,RALPH LAUREN CORP,RL,Smith Andrew HowardEVP Chief Commercial Officer,"12,327",$100,"$1,232,700","87,194(Direct)",View
141,2020-12-09Sale,2020-12-116:48 pm,CYTOKINETICS INC,CYTK,BVF PARTNERS L PBIOTECHNOLOGY VALUE FUND L PBVF I GP LLCBIOTECHNOLOGY VALUE FUND II LPBVF II GP LLCBiotechnology Value Trading Fund OS LPBVF Partners OS Ltd.BVF GP HOLDINGS LLCBVF INCLAMPERT MARK NSee Explanaton of Responses,"430,954",$18,"$7,757,172","463,244(Direct)",View
142,2020-12-10Sale,2020-12-116:54 pm,Ares Management Corp,ARES,Arougheti Michael JCEO,"122,577",$48.41,"$5,934,186","630,235(IndirectDirect)",View
143,2020-12-10Sale,2020-12-116:58 pm,YELP INC,YELP,Stoppelman JeremyCEO,"400,000",$30.55,"$12,220,000","128,140(Direct)",View
144,2020-12-09Sale,2020-12-117:05 pm,Floor & Decor Holdings Inc.,FND,Christopherson David VictorVP,"7,043",$89.9,"$633,166","46,357(Direct)",View
145,2020-12-10Sale,2020-12-117:08 pm,Sprout Social Inc.,SPT,Del Preto JosephCFO,"4,000",$48.23,"$192,937","126,354(Direct)",View
146,2020-12-08Sale,2020-12-117:10 pm,BlackRock Capital Investment Corp,BKCC,Usifer Maureen KDirector,"21,831",$2.7969,"$61,060","52,469(Direct)",View
147,2020-12-10Sale,2020-12-117:11 pm,W.W. GRAINGER Inc,GWW,HOWARD JOHN LVP,"18,903",$403.79,"$7,632,749","39,567(Direct)",View
148,2020-12-09Sale,2020-12-117:11 pm,STAMPS.COM INC,STMP,MCBRIDE KENNETH THOMASCEOChairman,"2,637",$205.45,"$541,761",957(Direct),View
149,2020-12-10Sale,2020-12-117:13 pm,Morphic Holding Inc.,MORF,Tipirneni Praveen P.CEO,"7,027",$35.42,"$248,898","632,047(IndirectDirect)",View
150,2020-12-09Sale,2020-12-117:20 pm,CARVANA CO.,CVNA,GARCIA ERNEST C. IIVERDE INVESTMENTS Inc10% Owner,"19,206",$255.96,"$4,915,927",0(IndirectDirect),View
151,2020-12-09Sale,2020-12-117:21 pm,CARVANA CO.,CVNA,GARCIA ERNEST C. IIVERDE INVESTMENTS Inc10% Owner,"30,794",$263.54,"$8,115,405",0(IndirectDirect),View
152,2020-12-09Sale,2020-12-117:21 pm,SERVICESOURCE INTERNATIONAL Inc,SREV,Naughton Michael DamienVP,"21,415",$1.5486,"$33,164","335,441(Direct)",View
153,2020-12-10Sale,2020-12-117:22 pm,FEDERAL AGRICULTURAL MORTGAGE CORP,AGM,ZIONS BANCORPORATION NATIONAL ASSOCIATION10% Owner,"20,000",$75.69,"$1,513,804","370,000(Direct)",View
154,2020-12-09Sale,2020-12-117:29 pm,MCGRATH RENTCORP,MGRC,Skenesky John PVP,"4,928",$63.97,"$315,261","7,582(Direct)",View
155,2020-12-09Sale,2020-12-117:30 pm,Zymeworks Inc.,ZYME,Klompas Neil ACFO,"25,000",$53.25,"$1,331,133","9,122(IndirectDirect)",View
