,TransactionDate,ReportedDateTime,Company,Symbol,InsiderRelationship,SharesTraded,AveragePrice,TotalAmount,SharesOwned,Filing
1,2020-12-09Sale,2020-12-114:00 pm,1Life Healthcare Inc,ONEM,Kennedy David PDirector,"5,556",$38.02,"$211,240","314,673(Indirect)",View
2,2020-12-10Sale,2020-12-114:00 pm,Teladoc Health Inc.,TDOC,Trencher DanielVP,"3,000",$192.17,"$576,510","8,413(Direct)",View
3,2020-12-10Sale,2020-12-114:01 pm,Aeon Global Health Corp.,AGHC,Ibex Investors LLCIbex Microcap Fund LLLPLazarus Macro Micro Partners LLLPBORUS JUSTIN B10% Owner,"74,173",$0.066,"$4,895","35,861(Indirect)",View
4,2020-12-09Sale,2020-12-114:02 pm,EGAIN Corp,EGAN,Darukhanavala Phiroz PDirector,"25,500",$11.35,"$289,425",0(Direct),View
5,2020-12-10Sale,2020-12-114:05 pm,CRISPR Therapeutics AG,CRSP,Kulkarni SamarthCEO,"20,000",$142.29,"$2,845,782","169,189(Direct)",View
6,2020-12-09Sale,2020-12-114:05 pm,CIENA CORP,CIEN,SMITH GARY BCEO,"3,300",$47.01,"$155,134","318,890(Direct)",View
7,2020-12-09Sale,2020-12-114:08 pm,Western New England Bancorp Inc.,WNEB,Sajdak Guida RCFO,583,$7,"$4,081","12,115(IndirectDirect)",View
8,2020-12-10Sale,2020-12-114:08 pm,CBIZ Inc.,CBZ,GRISKO JEROME PCEO,"17,613",$25.26,"$444,960","117,642(IndirectDirect)",View
9,2020-12-10Sale,2020-12-114:10 pm,GAMCO INVESTORS Inc,GBL,GABELLI MARIO JCEOChairman10% Owner,"8,900",$15.24,"$135,607","2,024,992(IndirectDirect)",View
10,2020-12-10Sale,2020-12-114:10 pm,Bandwidth Inc.,BAND,Roush Lukas M.Director,75,$163.93,"$12,295","2,966(Direct)",View
11,2020-12-09Sale,2020-12-114:13 pm,Moderna Inc.,MRNA,Bancel StephaneCEO,"22,832",$158.07,"$3,608,950","7,634,880(IndirectDirect)",View
12,2020-12-09Sale,2020-12-114:13 pm,AMBARELLA INC,AMBA,Chen Yun-LungVP,"6,027",$89.16,"$537,373","36,375(Direct)",View
13,2020-12-09Sale,2020-12-114:14 pm,Progyny Inc.,PGNY,TPG Group Holdings (SBS) Advisors Inc.BONDERMAN DAVIDCOULTER JAMES G10% Owner,"158,211",$37.36,"$5,911,527","14,983,589(Indirect)",View
14,2020-12-09Sale,2020-12-114:14 pm,Editas Medicine Inc.,EDIT,Albright CharlesEVP/Chief Scientific Officer,"10,000",$45,"$450,000","24,907(Direct)",View
15,2020-11-27Sale,2020-12-114:15 pm,Kraft Heinz Co,KHC,OLIVEIRA RAFAELPresident,16,$32.81,$529,"390,207(Direct)",View
16,2020-12-10Sale,2020-12-114:16 pm,Palo Alto Networks Inc,PANW,Klarich LeeEVP Chief Product Officer,"3,500",$304.3,"$1,065,049","312,047(Direct)",View
17,2020-12-09Sale,2020-12-114:18 pm,LCI INDUSTRIES,LCII,Schnur JamiePresident,847,$130.41,"$110,457","19,810(Direct)",View
18,2020-12-09Sale,2020-12-114:18 pm,CLOROX CO,CLX,Barral Diego JVP,"9,916",$200.19,"$1,985,050","7,005(Direct)",View
19,2020-12-10Sale,2020-12-114:20 pm,NantKwest Inc.,NK,Thomas John CDirector,"42,592",$10.83,"$461,122","207,477(IndirectDirect)",View
20,2020-12-07Sale,2020-12-114:21 pm,MILESTONE SCIENTIFIC Inc,MLSS,D'Agostino JosephCFOCOO,"30,000",$1.8567,"$55,700","1,173,587(Direct)",View
21,2020-12-09Sale,2020-12-114:22 pm,Myovant Sciences Ltd.,MYOV,Lang MatthewGeneral Counsel & Corp. Secy.,"20,000",$25.19,"$503,832","145,865(Direct)",View
