,TransactionDate,ReportedDateTime,Company,Symbol,InsiderRelationship,SharesTraded,AveragePrice,TotalAmount,SharesOwned,Filing
1,2020-12-01Sale,2020-12-034:00 pm,FOX FACTORY HOLDING CORP,FOXF,ENTERLINE LARRY LDirector,"60,000",$89.93,"$5,395,718",0(Indirect),View
2,2020-12-01Sale,2020-12-034:01 pm,Teladoc Health Inc.,TDOC,Verstraete StephanyChief Marketing Officer,"4,000",$198.66,"$794,640","13,276(Direct)",View
3,2020-12-01Sale,2020-12-034:02 pm,Teladoc Health Inc.,TDOC,GOREVIC JASON NCEO,"25,000",$194.27,"$4,856,750","612,318(Direct)",View
4,2020-12-01Sale,2020-12-034:02 pm,ARENA PHARMACEUTICALS INC,ARNA,Lisicki RobertEVP Chief Commercial Officer,"3,872",$66.06,"$255,786",0(Direct),View
5,2020-12-01Sale,2020-12-034:03 pm,Compass Diversified Holdings,CODI,Anholt Investments Ltd.CGI Diversified Holdings LPNavco Management Ltd.Path Spirit LTD10% Owner,"32,036",$19.54,"$626,137","8,455,804(Indirect)",View
6,2020-12-02Sale,2020-12-034:03 pm,BOSTON BEER CO INC,SAM,KOCH C JAMESChairman10% Owner,"9,347",$923.34,"$8,630,484","186,074(IndirectDirect)",View
7,2020-12-01Sale,2020-12-034:03 pm,CORNING INC,GLW,STEVERSON LEWIS AVP,"36,214",$37.5,"$1,357,920",0(Direct),View
8,2020-12-02Sale,2020-12-034:04 pm,BOSTON BEER CO INC,SAM,KOCH C JAMESChairman10% Owner,653,$947.95,"$619,014","185,421(IndirectDirect)",View
9,2020-12-01Sale,2020-12-034:04 pm,VEEVA SYSTEMS INC,VEEV,Lequient FredericVP,266,$267.53,"$71,162",746(Direct),View
10,2020-12-02Sale,2020-12-034:04 pm,Cardlytics Inc.,CDLX,Grimes Scott D.Director,"2,000",$117.11,"$234,226","103,112(IndirectDirect)",View
11,2020-12-01Sale,2020-12-034:05 pm,Seres Therapeutics Inc.,MCRB,Henn Matthew R.See Remarks,"91,812",$27.04,"$2,482,309",0(Direct),View
12,2020-12-02Sale,2020-12-034:05 pm,Palomar Holdings Inc.,PLMR,Christianson JonChief Underwriting Officer,"1,500",$68.53,"$102,795","111,468(Direct)",View
13,2020-12-03Sale,2020-12-034:05 pm,WORLD WRESTLING ENTERTAINMENTINC,WWE,DUNN KEVINExecutive Producer & Chief Glo,"30,000",$44.79,"$1,343,700","73,811(Direct)",View
14,2020-12-01Sale,2020-12-034:05 pm,Interactive Brokers Group Inc.,IBKR,Peterffy ThomasChairman,"32,589",$54.3,"$1,769,464","9,684,622(Direct)",View
15,2020-12-02Sale,2020-12-034:05 pm,PTC Inc,PTC,Wrenn KevinVP,921,$107.3,"$98,823","9,017(Direct)",View
16,2020-12-02Sale,2020-12-034:05 pm,HAVERTY FURNITURE COMPANIES INC,HVT,PARKER JENNY HVP,"10,000",$28,"$280,050","18,242(Direct)",View
17,2020-12-01Sale,2020-12-034:07 pm,Vera Bradley Inc.,VRA,Miller P. MichaelDirector10% Owner,"245,824",$8.01,"$1,969,050","2,254,176(IndirectDirect)",View
18,2020-12-01Sale,2020-12-034:07 pm,CASTLE BIOSCIENCES INC,CSTL,Spiess Bernhard E.Chief Business Officer,"40,000",$49.97,"$1,998,800","11,747(Direct)",View
19,2020-12-01Sale,2020-12-034:07 pm,Vera Bradley Inc.,VRA,Miller Patricia R.10% Owner,"245,824",$8.01,"$1,969,050","2,254,176(IndirectDirect)",View
20,2020-12-01Sale,2020-12-034:07 pm,Keysight Technologies Inc.,KEYS,WALLACE Mark ADAMVP,"10,550",$121.75,"$1,284,515","67,610(Direct)",View
21,2020-12-01Sale,2020-12-034:10 pm,Blueprint Medicines Corp,BPMC,Hurley ArielPrincipal Accounting Officer,"1,038",$109.88,"$114,053","9,984(Direct)",View
22,2020-12-01Sale,2020-12-034:10 pm,Blueprint Medicines Corp,BPMC,Goldberg Mark AlanDirector,"5,454",$110,"$599,940","3,562(Direct)",View
23,2020-12-01Sale,2020-12-034:11 pm,NOODLES & Co,NDLS,Catterton-Noodles Holdings LLCCP6 Management L.L.C.Dahnke Scott ArnoldChu James MichaelCatterton-Noodles LLC10% Owner,"1,000,000",$7.5,"$7,500,000","1,787,476(Direct)",View
24,2020-12-01Sale,2020-12-034:11 pm,Moderna Inc.,MRNA,Bancel StephaneCEO,"12,929",$150.55,"$1,946,492","6,554,868(IndirectDirect)",View
