,TransactionDate,ReportedDateTime,Company,Symbol,InsiderRelationship,SharesTraded,AveragePrice,TotalAmount,SharesOwned,Filing
154,2020-12-04Sale,2020-12-049:00 pm,ALASKA AIR GROUP Inc,ALK,BERRY CHRISTOPHER MICHAELVP,630,$54.05,"$34,051","4,703(Direct)",View
155,2020-12-04Sale,2020-12-049:02 pm,PVH CORP.,PVH,KOZEL DAVID FVP,"5,340",$88.46,"$472,356","23,602(Direct)",View
156,2020-12-03Sale,2020-12-049:17 pm,PDL BIOPHARMA Inc,PDLI,GRYSKA DAVID WDirector,"75,000",$2.52,"$189,000","30,337(Direct)",View
157,2020-12-03Sale,2020-12-049:30 pm,MTBC Inc.,MTBC,KORN BILLCFO,"6,750",$11.36,"$76,680","135,333(Direct)",View
158,2020-12-04Sale,2020-12-0706:06 am,FULL HOUSE RESORTS INC,FLL,Guidroz ElaineVP,"8,556",$3.7401,"$32,000","15,444(IndirectDirect)",View
159,2020-12-02Sale,2020-12-0706:18 am,ORAGENICS INC,OGEN,Hernandez Joseph10% Owner,"5,000,000",$0.4103,"$2,051,500","4,200,000(Direct)",View
160,2020-12-03Sale,2020-12-0707:00 am,RadNet Inc.,RDNT,Murdock Michael NVP,"16,429",$0,$0,"73,908(Direct)",View
161,2020-12-03Sale,2020-12-0707:00 am,Epizyme Inc.,EPZM,Agarwal ShefaliChief Medical Officer,"2,522",$13.54,"$34,148","76,089(Direct)",View
162,2020-12-04Sale,2020-12-0708:54 am,ClearBridge MLP & Midstream Fund Inc.,CEM,HUTCHINSON WILLIAM RDirector,"1,400",$18.77,"$26,278",0(Direct),View
163,2020-12-04Sale,2020-12-0709:20 am,ZEBRA TECHNOLOGIES CORP,ZBRA,Williams Stephen EdgarVP,"1,052",$379.58,"$399,318","3,530(Direct)",View
164,2020-12-04Sale,2020-12-0709:22 am,CITRIX SYSTEMS INC,CTXS,SOISSON JESSICACAO,414,$128.47,"$53,187","26,727(Direct)",View
165,2020-12-04Sale,2020-12-0710:55 am,NATIONAL BANKSHARES INC,NKSH,Johnson Mildred RDirector,1,$31.3,$31,"1,006(IndirectDirect)",View
166,2020-12-04Sale,2020-12-0711:06 am,WABASH NATIONAL Corp,WNC,Kunz John EDirector,"4,808",$18.16,"$87,294","65,100(Direct)",View
167,2020-12-04Sale,2020-12-0711:08 am,WATERS CORP,WAT,CONARD EDWARDDirector,"1,322",$236.59,"$312,772","70,543(Direct)",View
168,2020-12-04Sale,2020-12-0711:25 am,Surgery Partners Inc.,SGRY,DeLuca TeresaDirector,915,$27.75,"$25,391","28,811(Direct)",View
169,2020-12-03Sale,2020-12-0712:07 pm,TransDigm Group INC,TDG,Henderson Robert SVP,"17,500",$599.93,"$10,498,742",0(Indirect),View
170,2020-12-03Sale,2020-12-0712:08 pm,DAKOTA TERRITORY RESOURCE CORP,DTRC,Bachman Richard LynnChief Geological Officer10% Owner,"156,250",$0.48,"$75,000","16,305,320(Direct)",View
171,2020-12-04Sale,2020-12-0712:11 pm,Trinseo S.A.,TSE,M&G INVESTMENT MANAGEMENT LTD10% Owner,"6,000",$41.63,"$249,750","7,774,044(Indirect)",View
172,2020-12-03Sale,2020-12-0712:15 pm,SCOTTS MIRACLE-GRO CO,SMG,Shumlin Peter EDirector,"1,600",$170.72,"$273,147","9,166(Direct)",View
173,2020-12-04Sale,2020-12-0712:32 pm,MARRIOTT INTERNATIONAL INC,MAR,Brown William PPresident,"4,000",$133.51,"$534,040","10,284(Direct)",View
174,2020-12-03Sale,2020-12-0712:41 pm,RESMED INC,RMD,PENDARVIS DAVIDCAO,"1,487",$208.36,"$309,831","133,694(Direct)",View
175,2020-12-02Sale,2020-12-0712:42 pm,WEED Inc,BUDZ,BREEN NICOLE MDirector10% Owner,"50,000",$0.26588,"$13,294","22,390,744(Indirect)",View
176,2020-12-03Sale,2020-12-0712:42 pm,GRAN TIERRA ENERGY Inc,GTE,GMT CAPITAL CORPBAY RESOURCE PARTNERS LPBAY II RESOURCE PARTNERS LPBAY RESOURCE PARTNERS OFFSHORE MASTER FUND L.P.CLAUGUS THOMAS EGMT Exploration Co LLC10% Owner,"849,276",$0.29647,"$251,783","68,759,656(Direct)",View
177,2020-12-04Sale,2020-12-071:04 pm,FIRST INTERSTATE BANCSYSTEM INC,FIBK,Heyneman Susan Scott10% Owner,"105,000",$40,"$4,199,863",0(Indirect),View
178,2020-12-04Sale,2020-12-071:13 pm,BOTTOMLINE TECHNOLOGIES INC,EPAY,Kelly John FrancisGM Legal Solutions,"1,655",$49.47,"$81,881","58,113(Direct)",View
179,2020-12-04Sale,2020-12-071:25 pm,GROUP 1 AUTOMOTIVE INC,GPI,DeLongchamps Peter CVP,"3,000",$126.5,"$379,500","37,174(Direct)",View
180,2020-12-03Sale,2020-12-071:39 pm,COHU INC,COHU,Muller Luis ACEO,"30,292",$34.63,"$1,048,968","512,863(Direct)",View
181,2020-12-03Sale,2020-12-071:43 pm,RIVERVIEW BANCORP INC,RVSB,KARAS JOHN ADirector,"54,467",$5.1518,"$280,604","26,098(Direct)",View
182,2020-12-03Sale,2020-12-071:54 pm,Altair Engineering Inc.,ALTR,Chouinard Brett RDirector,"3,000",$52.74,"$158,210","19,069(Direct)",View
183,2020-12-04Sale,2020-12-072:08 pm,EXPEDITORS INTERNATIONAL OF WASHINGTON INC,EXPD,Emmert Mark ADirector,"5,600",$90.1,"$504,560","15,390(Direct)",View
184,2020-12-04Sale,2020-12-072:16 pm,GROUP 1 AUTOMOTIVE INC,GPI,Pereira LincolnDirector,"10,000",$126.88,"$1,268,800","148,309(IndirectDirect)",View
185,2020-12-04Sale,2020-12-072:18 pm,Eaton Corp plc,ETN,MCCOY DEBORAH LDirector,"1,500",$119.58,"$179,364","25,436(Direct)",View
186,2020-12-04Sale,2020-12-072:18 pm,ServisFirst Bancshares Inc.,SFBS,MORRIS BUFORD HARRISON IIICEO,"5,111",$39.27,"$200,706",0(IndirectDirect),View
187,2020-12-03Sale,2020-12-072:51 pm,1 800 FLOWERS COM INC,FLWS,MCCANN CHRISTOPHER GCEO10% Owner,"35,700",$22.93,"$818,601","928,331(IndirectDirect)",View
188,2020-12-04Sale,2020-12-072:51 pm,DIODES INC,DIOD,CHEN C HDirector,"50,000",$70.91,"$3,545,670","150,000(IndirectDirect)",View
189,2020-12-04Sale,2020-12-072:56 pm,DONALDSON CO INC,DCI,SCALF THOMAS RVP,"1,000",$54.41,"$54,410","23,586(IndirectDirect)",View
190,2020-12-03Sale,2020-12-072:59 pm,Morningstar Inc.,MORN,Mansueto Joseph DChairman10% Owner,"10,680",$201.87,"$2,155,925","19,475,084(IndirectDirect)",View
191,2020-12-03Sale,2020-12-073:10 pm,CBL & ASSOCIATES PROPERTIES INC,CBLAQ,Harrison Michael C. Jr.VP,250,$0.058,$14,"29,656(Direct)",View
192,2020-12-04Sale,2020-12-073:25 pm,RadNet Inc.,RDNT,HAMES NORMAN RPresident,"20,000",$19.02,"$380,300","457,067(Direct)",View
193,2020-12-04Sale,2020-12-073:59 pm,UroGen Pharma Ltd.,URGN,Schoenberg MarkChief Medical Officer,662,$19.85,"$13,141","19,723(Direct)",View
