,TransactionDate,ReportedDateTime,Company,Symbol,InsiderRelationship,SharesTraded,AveragePrice,TotalAmount,SharesOwned,Filing
36,2020-12-03Sale,2020-12-044:30 pm,Marathon Patent Group Inc.,MARA,Rudolph MichaelDirector,"3,000",$6.15,"$18,450","8,146(Direct)",View
37,2020-12-03Sale,2020-12-044:31 pm,ARMSTRONG WORLD INDUSTRIES INC,AWI,Hershey Mark AVP,"33,423",$80,"$2,673,840","44,487(Direct)",View
38,2020-12-03Sale,2020-12-044:31 pm,PERFICIENT INC,PRFT,LUNDEEN DAVID SDirector,"6,000",$48.18,"$289,080","36,921(Direct)",View
39,2020-12-03Sale,2020-12-044:32 pm,PELOTON INTERACTIVE Inc,PTON,Garavaglia MarianaCOO,"5,209",$115.04,"$599,269","2,856(Direct)",View
40,2020-12-02Sale,2020-12-044:32 pm,PUMA BIOTECHNOLOGY Inc,PBYI,AUERBACH ALAN HCEO10% Owner,355,$11.66,"$4,138","4,302,493(Direct)",View
41,2020-12-02Sale,2020-12-044:33 pm,STANLEY BLACK & DECKER Inc,SWK,Ansell Jeffrey DVP,"6,250",$179.32,"$1,120,747","14,650(IndirectDirect)",View
42,2020-12-02Sale,2020-12-044:33 pm,BOYD GAMING CORP,BYD,JOHNSON MARIANNE BOYDVP,"74,280",$39.87,"$2,961,754","5,147,040(IndirectDirect)",View
43,2020-12-03Sale,2020-12-044:34 pm,Black Diamond Therapeutics Inc.,BDTX,Roberts Christopher D.Chief Scientific Officer,"2,500",$32.42,"$81,055",0(Direct),View
44,2020-12-02Sale,2020-12-044:34 pm,PUMA BIOTECHNOLOGY Inc,PBYI,BRYCE RICHARD PAULSEE REMARKS,92,$11.65,"$1,072","76,627(Direct)",View
45,2020-12-02Sale,2020-12-044:35 pm,BELDEN Inc,BDC,KLEIN JONATHAN CDirector,"1,676",$40.13,"$67,266","15,913(Direct)",View
46,2020-12-02Sale,2020-12-044:39 pm,Progyny Inc.,PGNY,Payson NormanDirector,"11,000",$36.68,"$403,435","550,500(IndirectDirect)",View
47,2020-12-02Sale,2020-12-044:41 pm,Conformis Inc,CFMS,Augusti Mark ACEO,"5,700",$0.64818,"$3,695","2,341,370(Direct)",View
48,2020-12-03Sale,2020-12-044:45 pm,SKECHERS USA INC,SKX,GREENBERG ROBERTGREENBERG M SUSANGREENBERG FAMILY TRUSTCEO10% Owner,"250,000",$34.05,"$8,511,550","1,992(IndirectDirect)",View
49,2020-12-02Sale,2020-12-044:47 pm,ALEXION PHARMACEUTICALS Inc,ALXN,Carino TanishaVP,"1,530",$122.26,"$187,058","16,102(Direct)",View
50,2020-12-02Sale,2020-12-044:47 pm,TRINET GROUP Inc,TNET,BINGHAM H RAYMONDDirector,830,$76.68,"$63,642","109,450(IndirectDirect)",View
51,2020-12-02Sale,2020-12-044:48 pm,bluebird bio Inc.,BLUE,Leschly NickCEO,444,$46.2,"$20,512","97,691(IndirectDirect)",View
52,2020-12-02Sale,2020-12-044:48 pm,bluebird bio Inc.,BLUE,Davidson DavidChief Medical Officer,64,$46.2,"$2,957","39,576(Direct)",View
53,2020-12-02Sale,2020-12-044:48 pm,bluebird bio Inc.,BLUE,Gregory Philip DChief Scientific Officer,59,$46.2,"$2,726","35,806(Direct)",View
54,2020-12-02Sale,2020-12-044:48 pm,bluebird bio Inc.,BLUE,Cole JasonChief Operating and,38,$46.2,"$1,756","35,224(Direct)",View
55,2020-12-02Sale,2020-12-044:48 pm,bluebird bio Inc.,BLUE,Smith-Farrell JoanneCOO,38,$46.2,"$1,756","21,938(Direct)",View
56,2020-12-02Sale,2020-12-044:48 pm,bluebird bio Inc.,BLUE,FINGER ALISON CECILYChief Commercial Officer,36,$46.2,"$1,663","26,957(Direct)",View
57,2020-12-03Sale,2020-12-044:49 pm,bluebird bio Inc.,BLUE,Burnett KatyPrincipal Accounting Officer,123,$46.09,"$5,669","1,460(Direct)",View
58,2020-12-02Sale,2020-12-044:50 pm,FUEL TECH Inc,FTEK,Markowsky James JDirector,"50,000",$3.398,"$169,900",0(Direct),View
59,2020-12-03Sale,2020-12-044:50 pm,ESSA Bancorp Inc.,ESSA,Grayuski Thomas JVP,900,$15.75,"$14,175","5,000(IndirectDirect)",View
60,2020-12-03Sale,2020-12-044:51 pm,AMTECH SYSTEMS INC,ASYS,KING ROBERT FDirector,"30,200",$6.8692,"$207,450","2,000(Direct)",View
61,2020-12-02Sale,2020-12-044:52 pm,STANLEY BLACK & DECKER Inc,SWK,Raff Robert H JrPresident,"1,875",$179.8,"$337,125","5,092(IndirectDirect)",View
62,2020-12-02Sale,2020-12-044:53 pm,ARC DOCUMENT SOLUTIONS Inc,ARC,Suriyakumar KumarakulasingamCEOChairman10% Owner,"162,503",$1.408,"$228,809","2,458,161(IndirectDirect)",View
63,2020-12-03Sale,2020-12-044:55 pm,Ameresco Inc.,AMRC,Corrsin David JVP,"6,162",$44.5,"$274,227","321,783(Direct)",View
64,2020-12-02Sale,2020-12-044:56 pm,Moderna Inc.,MRNA,Hoge StephenPresident,"20,000",$141.08,"$2,821,600","1,734,597(IndirectDirect)",View
65,2020-12-03Sale,2020-12-044:56 pm,Ameresco Inc.,AMRC,WISNESKI FRANCIS V JRDirector,"5,000",$44.23,"$221,140","58,676(Direct)",View
66,2020-12-02Sale,2020-12-044:56 pm,Ameresco Inc.,AMRC,Murley Thomas SDirector,913,$44.91,"$41,004","10,500(Direct)",View
67,2020-12-02Sale,2020-12-044:56 pm,Ameresco Inc.,AMRC,Sutton Joseph W.Director,"20,000",$44.59,"$891,715","608,681(Indirect)",View
68,2020-12-04Sale,2020-12-044:56 pm,U S PHYSICAL THERAPY INC,USPH,READING CHRISTOPHER JCEO,"6,000",$106.67,"$640,020","70,438(Direct)",View
69,2020-12-02Sale,2020-12-044:57 pm,PennyMac Financial Services Inc.,PFSI,SPECTOR DAVIDCEO,"30,000",$59.78,"$1,793,293","1,123,878(IndirectDirect)",View
70,2020-12-02Sale,2020-12-045:00 pm,1Life Healthcare Inc,ONEM,Lockhart Kimber DCTO,"30,000",$34.89,"$1,046,769","27,399(Direct)",View
